1,4698,2551,1323,3013,692,5012
2,2102,4135,2085,2141,5274,5905
3,1072,5458,3128,4669,6305,1351
4,1700,6174,5875,6644,2073,1662
5,4543,2473,3189,4643,1678,3669
6,5480,3501,3257,649,701,2543
7,3598,1458,295,199,6612,2204
8,3250,6665,1056,6474,4171,5507
9,1671,100,973,585,5496,3615
10,1662,1388,5458,4135,1323,3859
11,5274,2551,701,2473,1700,6305
12,2204,1351,2102,5012,3257,3189
13,3128,6612,3013,3501,3250,3669
14,1056,4698,5507,5496,1678,295
15,692,4543,3615,1388,5875,5480
16,1458,5905,4171,2141,585,2543
17,4669,4643,3859,6665,1671,2073
18,6644,649,100,199,1072,3598
19,6474,6174,1351,2085,973,2551
20,3615,2473,2204,2102,3013,6305
21,1458,5875,5507,5458,3669,5905
22,5496,692,2543,3128,6665,701
23,4135,2073,3189,3250,585,1072
24,6644,1056,1678,1662,5012,3501
25,4643,199,3257,5274,4698,1388
26,1323,973,6474,1700,3598,4669
27,2141,3859,5480,6174,100,6612
28,4543,4171,2085,1671,295,649
29,585,3189,3013,2543,5458,5507
30,2204,6644,3501,5905,5496,2073
31,3250,2102,3615,1072,701,1323
32,1662,5274,100,4698,6474,3128
33,6305,6174,1458,4669,1678,4543
34,6665,2473,6612,1700,4135,1388
35,4171,295,5875,2551,3859,3257
36,2141,1671,692,3669,1056,649
37,973,4643,3598,5480,2085,5012
38,199,2073,6474,4543,5507,1351
39,4698,1662,6665,6305,3189,6612
40,701,1388,2102,585,5875,1678
41,1323,2204,1671,6174,2543,1072
42,3501,2085,649,2473,3859,5458
43,5012,4669,3669,100,3615,4171
44,1056,2551,3598,3250,3128,3257
45,692,4135,5274,1458,6644,973
46,3013,5905,295,4643,1351,1700
47,2102,2141,199,5496,5480,6665
48,2073,5507,1323,6305,2085,100
49,6174,3669,1388,4698,2543,3598
50,3128,649,4135,1678,2204,6474
51,1056,1671,1458,973,3013,701
52,4643,3250,2551,5496,1662,199
53,585,4669,295,2473,5480,6644
54,3189,1072,5875,4171,5274,3501
55,6612,5905,692,1351,3615,5458
56,3859,4543,5012,3257,1700,2141
57,3250,6305,2073,649,973,1388
58,6174,295,701,4135,100,3669
59,2085,4669,2204,1056,199,5875
60,5480,1351,5905,1662,4171,2473
61,1700,3501,5507,4698,2102,1671
62,2551,2141,3128,6644,1323,3189
63,3013,3598,3615,5274,6665,1678
64,585,3257,6612,692,6474,4643
65,5496,5012,1072,4543,1458,5458
66,2543,3669,973,3859,1662,2102
67,2473,4698,1351,3250,2141,5875
68,100,1700,5480,3189,1056,2085
69,4171,6305,4643,6174,3598,692
70,5905,1388,1678,1671,1072,6474
71,4135,5496,4669,3257,3013,649
72,6665,585,3501,4543,2204,2551
73,5274,5012,2543,2073,6612,295
74,5507,3128,6644,3859,3615,1458
75,199,701,1678,5458,1323,4171
76,5496,3189,1700,1388,692,4669
77,100,4543,3598,5905,2102,2551
78,295,6474,1662,2141,3501,3013
79,3615,2543,6305,1056,4643,4135
80,1671,5458,3250,2204,5480,5274
81,6174,199,5012,585,3128,2473
82,5875,649,1323,6612,5507,973
83,1351,3859,2073,701,1458,4698
84,6665,3257,3669,1072,6644,2085
